--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Layer (type)                                                  Input Shape                                                                                    Output Shape                                               Param #    
        ConvBN-148                                               [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
HSBottleNeckWithOutReLU-61                                      [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      BasicBlock-39                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
        Conv2D-690                                              [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                             5,120     
    SyncBatchNorm-375                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
      ConvBNReLU-122                                            [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-691                                               [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               576      
        Conv2D-692                                               [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                             1,296     
        Conv2D-693                                               [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                             1,764     
        Conv2D-694                                               [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                             2,025     
       HSBlock-106                                               [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    SyncBatchNorm-376                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
         ReLU-150                                                [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    HSBlockBNReLU-106                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-695                                               [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                             5,120     
    SyncBatchNorm-377                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
        ConvBN-149                                               [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
         ReLU-151                                               [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
     HSBottleNeck-45                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
        Conv2D-696                                              [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                             5,120     
    SyncBatchNorm-378                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
      ConvBNReLU-123                                            [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-697                                               [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               576      
        Conv2D-698                                               [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                             1,296     
        Conv2D-699                                               [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                             1,764     
        Conv2D-700                                               [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                             2,025     
       HSBlock-107                                               [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    SyncBatchNorm-379                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
         ReLU-152                                                [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    HSBlockBNReLU-107                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-701                                               [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                             5,120     
    SyncBatchNorm-380                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
        ConvBN-150                                               [[1, 40, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
HSBottleNeckWithOutReLU-62                                      [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      BasicBlock-40                                             [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
        Conv2D-702                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-381                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-124                                             [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-703                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                576      
        Conv2D-704                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,296     
        Conv2D-705                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,764     
        Conv2D-706                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,025     
       HSBlock-108                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-382                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-153                                                 [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    HSBlockBNReLU-108                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-707                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-383                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-151                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
         ReLU-154                                                [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
     HSBottleNeck-46                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Conv2D-708                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-384                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-125                                             [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-709                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                576      
        Conv2D-710                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,296     
        Conv2D-711                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,764     
        Conv2D-712                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,025     
       HSBlock-109                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-385                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-155                                                 [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    HSBlockBNReLU-109                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-713                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-386                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-152                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
HSBottleNeckWithOutReLU-63                                       [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      BasicBlock-41                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Conv2D-714                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-387                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-126                                             [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-715                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                576      
        Conv2D-716                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,296     
        Conv2D-717                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,764     
        Conv2D-718                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,025     
       HSBlock-110                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-388                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-156                                                 [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    HSBlockBNReLU-110                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-719                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-389                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-153                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
         ReLU-157                                                [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
     HSBottleNeck-47                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Conv2D-720                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-390                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-127                                             [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-721                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                576      
        Conv2D-722                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,296     
        Conv2D-723                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,764     
        Conv2D-724                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,025     
       HSBlock-111                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-391                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-158                                                 [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    HSBlockBNReLU-111                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-725                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                             10,240     
    SyncBatchNorm-392                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
        ConvBN-154                                                [[1, 40, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
HSBottleNeckWithOutReLU-64                                       [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      BasicBlock-42                                              [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
        Conv2D-726                                               [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                             20,480     
    SyncBatchNorm-393                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
      ConvBNReLU-128                                             [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-727                                                [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                576      
        Conv2D-728                                                [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,296     
        Conv2D-729                                                [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,764     
        Conv2D-730                                                [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,025     
       HSBlock-112                                                [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    SyncBatchNorm-394                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
         ReLU-159                                                 [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    HSBlockBNReLU-112                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-731                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                             20,480     
    SyncBatchNorm-395                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
        ConvBN-155                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
         ReLU-160                                                [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
     HSBottleNeck-48                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
        Conv2D-732                                               [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                             20,480     
    SyncBatchNorm-396                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
      ConvBNReLU-129                                             [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-733                                                [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                576      
        Conv2D-734                                                [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,296     
        Conv2D-735                                                [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,764     
        Conv2D-736                                                [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,025     
       HSBlock-113                                                [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    SyncBatchNorm-397                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
         ReLU-161                                                 [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    HSBlockBNReLU-113                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-737                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                             20,480     
    SyncBatchNorm-398                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
        ConvBN-156                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
HSBottleNeckWithOutReLU-65                                       [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      BasicBlock-43                                              [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
        Conv2D-738                                               [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                             20,480     
    SyncBatchNorm-399                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
      ConvBNReLU-130                                             [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-739                                                [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                576      
        Conv2D-740                                                [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,296     
        Conv2D-741                                                [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,764     
        Conv2D-742                                                [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,025     
       HSBlock-114                                                [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    SyncBatchNorm-400                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
         ReLU-162                                                 [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    HSBlockBNReLU-114                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-743                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                             20,480     
    SyncBatchNorm-401                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
        ConvBN-157                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
         ReLU-163                                                [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
     HSBottleNeck-49                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
        Conv2D-744                                               [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                             20,480     
    SyncBatchNorm-402                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
      ConvBNReLU-131                                             [[1, 512, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-745                                                [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                576      
        Conv2D-746                                                [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,296     
        Conv2D-747                                                [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,764     
        Conv2D-748                                                [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,025     
       HSBlock-115                                                [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    SyncBatchNorm-403                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
         ReLU-164                                                 [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
    HSBlockBNReLU-115                                             [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
        Conv2D-749                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                             20,480     
    SyncBatchNorm-404                                            [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
        ConvBN-158                                                [[1, 40, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
HSBottleNeckWithOutReLU-66                                       [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      BasicBlock-44                                              [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
        Branches-7                  [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]]                    [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]                  0       
        Conv2D-750                                              [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                             5,120     
    SyncBatchNorm-405                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
      ConvBNReLU-132                                            [[1, 128, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-751                                               [[1, 8, 128, 128]]                                                                               [1, 8, 128, 128]                                               64       
        Conv2D-752                                               [[1, 12, 128, 128]]                                                                              [1, 12, 128, 128]                                              144      
        Conv2D-753                                               [[1, 14, 128, 128]]                                                                              [1, 14, 128, 128]                                              196      
        Conv2D-754                                               [[1, 15, 128, 128]]                                                                              [1, 15, 128, 128]                                              225      
       HSBlock-116                                               [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    SyncBatchNorm-406                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                              160      
         ReLU-165                                                [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
    HSBlockBNReLU-116                                            [[1, 40, 128, 128]]                                                                              [1, 40, 128, 128]                                               0       
        Conv2D-755                                               [[1, 40, 128, 128]]                                                                              [1, 64, 128, 128]                                             2,560     
    SyncBatchNorm-407                                            [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
        ConvBN-159                                               [[1, 40, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
        Conv2D-756                                              [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                             8,192     
    SyncBatchNorm-408                                            [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
        ConvBN-160                                              [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
HSBottleNeckWithOutReLU-67                                      [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
        Conv2D-757                                               [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                             10,240     
    SyncBatchNorm-409                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
      ConvBNReLU-133                                             [[1, 256, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
        Conv2D-758                                                [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                64       
        Conv2D-759                                                [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                               144      
        Conv2D-760                                                [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                               196      
        Conv2D-761                                                [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                               225      
       HSBlock-117                                                [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
    SyncBatchNorm-410                                             [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
         ReLU-166                                                 [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
