----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Layer (type)                                             Input Shape                                                                                    Output Shape                                               Param #    
   Conv2D-55                                            [[1, 12, 16, 16]]                                                                                [1, 12, 16, 16]                                              1,308     
   Conv2D-56                                            [[1, 14, 16, 16]]                                                                                [1, 14, 16, 16]                                              1,778     
   Conv2D-57                                            [[1, 15, 16, 16]]                                                                                [1, 15, 16, 16]                                              2,040     
   HSBlock-9                                            [[1, 40, 16, 16]]                                                                                [1, 40, 16, 16]                                                0       
SyncBatchNorm-30                                        [[1, 40, 16, 16]]                                                                                [1, 40, 16, 16]                                               160      
HSBlockBNReLU-9                                         [[1, 40, 16, 16]]                                                                                [1, 40, 16, 16]                                                0       
   Conv2D-58                                            [[1, 40, 16, 16]]                                                                               [1, 512, 16, 16]                                             20,992     
SyncBatchNorm-31                                       [[1, 512, 16, 16]]                                                                               [1, 512, 16, 16]                                              2,048     
   ConvBN-13                                            [[1, 40, 16, 16]]                                                                               [1, 512, 16, 16]                                                0       
 HSBottleNeck-9                                        [[1, 512, 16, 16]]                                                                               [1, 512, 16, 16]                                                0       
   Conv2D-59                                           [[1, 512, 16, 16]]                                                                                [1, 40, 16, 16]                                             20,520     
SyncBatchNorm-32                                        [[1, 40, 16, 16]]                                                                                [1, 40, 16, 16]                                               160      
 ConvBNReLU-10                                         [[1, 512, 16, 16]]                                                                                [1, 40, 16, 16]                                                0       
   Conv2D-60                                            [[1, 8, 16, 16]]                                                                                 [1, 8, 16, 16]                                                584      
   Conv2D-61                                            [[1, 12, 16, 16]]                                                                                [1, 12, 16, 16]                                              1,308     
   Conv2D-62                                            [[1, 14, 16, 16]]                                                                                [1, 14, 16, 16]                                              1,778     
   Conv2D-63                                            [[1, 15, 16, 16]]                                                                                [1, 15, 16, 16]                                              2,040     
   HSBlock-10                                           [[1, 40, 16, 16]]                                                                                [1, 40, 16, 16]                                                0       
SyncBatchNorm-33                                        [[1, 40, 16, 16]]                                                                                [1, 40, 16, 16]                                               160      
HSBlockBNReLU-10                                        [[1, 40, 16, 16]]                                                                                [1, 40, 16, 16]                                                0       
   Conv2D-64                                            [[1, 40, 16, 16]]                                                                               [1, 512, 16, 16]                                             20,992     
SyncBatchNorm-34                                       [[1, 512, 16, 16]]                                                                               [1, 512, 16, 16]                                              2,048     
   ConvBN-14                                            [[1, 40, 16, 16]]                                                                               [1, 512, 16, 16]                                                0       
HSBottleNeck-10                                        [[1, 512, 16, 16]]                                                                               [1, 512, 16, 16]                                                0       
   Encoder-1                                           [[1, 3, 256, 256]]                                        [[1, 512, 16, 16], [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]]        0       
   Conv2D-65                                           [[1, 1024, 32, 32]]                                                                               [1, 40, 32, 32]                                             41,000     
SyncBatchNorm-35                                        [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
 ConvBNReLU-11                                         [[1, 1024, 32, 32]]                                                                               [1, 40, 32, 32]                                                0       
   Conv2D-66                                            [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                584      
   Conv2D-67                                            [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,308     
   Conv2D-68                                            [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,778     
   Conv2D-69                                            [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,040     
   HSBlock-11                                           [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
SyncBatchNorm-36                                        [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
HSBlockBNReLU-11                                        [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
   Conv2D-70                                            [[1, 40, 32, 32]]                                                                               [1, 256, 32, 32]                                             10,496     
SyncBatchNorm-37                                       [[1, 256, 32, 32]]                                                                               [1, 256, 32, 32]                                              1,024     
   ConvBN-15                                            [[1, 40, 32, 32]]                                                                               [1, 256, 32, 32]                                                0       
   Conv2D-71                                           [[1, 1024, 32, 32]]                                                                              [1, 256, 32, 32]                                             262,400    
SyncBatchNorm-38                                       [[1, 256, 32, 32]]                                                                               [1, 256, 32, 32]                                              1,024     
   ConvBN-16                                           [[1, 1024, 32, 32]]                                                                              [1, 256, 32, 32]                                                0       
HSBottleNeck-11                                        [[1, 1024, 32, 32]]                                                                              [1, 256, 32, 32]                                                0       
   Conv2D-72                                           [[1, 256, 32, 32]]                                                                                [1, 40, 32, 32]                                             10,280     
SyncBatchNorm-39                                        [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
 ConvBNReLU-12                                         [[1, 256, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
   Conv2D-73                                            [[1, 8, 32, 32]]                                                                                 [1, 8, 32, 32]                                                584      
   Conv2D-74                                            [[1, 12, 32, 32]]                                                                                [1, 12, 32, 32]                                              1,308     
   Conv2D-75                                            [[1, 14, 32, 32]]                                                                                [1, 14, 32, 32]                                              1,778     
   Conv2D-76                                            [[1, 15, 32, 32]]                                                                                [1, 15, 32, 32]                                              2,040     
   HSBlock-12                                           [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
SyncBatchNorm-40                                        [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                               160      
HSBlockBNReLU-12                                        [[1, 40, 32, 32]]                                                                                [1, 40, 32, 32]                                                0       
   Conv2D-77                                            [[1, 40, 32, 32]]                                                                               [1, 256, 32, 32]                                             10,496     
SyncBatchNorm-41                                       [[1, 256, 32, 32]]                                                                               [1, 256, 32, 32]                                              1,024     
   ConvBN-17                                            [[1, 40, 32, 32]]                                                                               [1, 256, 32, 32]                                                0       
HSBottleNeck-12                                        [[1, 256, 32, 32]]                                                                               [1, 256, 32, 32]                                                0       
  UpSampling-1                                [[1, 512, 16, 16], [1, 512, 32, 32]]                                                                      [1, 256, 32, 32]                                                0       
   Conv2D-78                                           [[1, 512, 64, 64]]                                                                                [1, 40, 64, 64]                                             20,520     
SyncBatchNorm-42                                        [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
 ConvBNReLU-13                                         [[1, 512, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
   Conv2D-79                                            [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                584      
   Conv2D-80                                            [[1, 12, 64, 64]]                                                                                [1, 12, 64, 64]                                              1,308     
   Conv2D-81                                            [[1, 14, 64, 64]]                                                                                [1, 14, 64, 64]                                              1,778     
   Conv2D-82                                            [[1, 15, 64, 64]]                                                                                [1, 15, 64, 64]                                              2,040     
   HSBlock-13                                           [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
SyncBatchNorm-43                                        [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
HSBlockBNReLU-13                                        [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
   Conv2D-83                                            [[1, 40, 64, 64]]                                                                               [1, 128, 64, 64]                                              5,248     
SyncBatchNorm-44                                       [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
   ConvBN-18                                            [[1, 40, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
   Conv2D-84                                           [[1, 512, 64, 64]]                                                                               [1, 128, 64, 64]                                             65,664     
SyncBatchNorm-45                                       [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
   ConvBN-19                                           [[1, 512, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
HSBottleNeck-13                                        [[1, 512, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
   Conv2D-85                                           [[1, 128, 64, 64]]                                                                                [1, 40, 64, 64]                                              5,160     
SyncBatchNorm-46                                        [[1, 40, 64, 64]]                                                                                [1, 40, 64, 64]                                               160      
 ConvBNReLU-14                                         [[1, 128, 64, 64]]                                                                                [1, 40, 64, 64]                                                0       
   Conv2D-86                                            [[1, 8, 64, 64]]                                                                                 [1, 8, 64, 64]                                                584      
