----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Layer (type)                                                Input Shape                                                                                    Output Shape                                               Param #    
      Conv2D-248                                             [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                            73,728     
  SyncBatchNorm-248                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-135                                             [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-249                                             [[1, 256, 64, 64]]                                                                               [1, 128, 64, 64]                                             32,768     
  SyncBatchNorm-249                                          [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
      ConvBN-136                                             [[1, 256, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
      Conv2D-250                                             [[1, 512, 32, 32]]                                                                               [1, 128, 32, 32]                                             65,536     
  SyncBatchNorm-250                                          [[1, 128, 32, 32]]                                                                               [1, 128, 32, 32]                                               512      
      ConvBN-137                                             [[1, 512, 32, 32]]                                                                               [1, 128, 32, 32]                                                0       
      Conv2D-251                                             [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                            36,864     
  SyncBatchNorm-251                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
    ConvBNReLU-114                                           [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-252                                             [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                             147,456    
  SyncBatchNorm-252                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-138                                             [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
      Conv2D-253                                            [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                             294,912    
  SyncBatchNorm-253                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-139                                            [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
      Conv2D-254                                             [[1, 512, 32, 32]]                                                                               [1, 256, 32, 32]                                             131,072    
  SyncBatchNorm-254                                          [[1, 256, 32, 32]]                                                                               [1, 256, 32, 32]                                              1,024     
      ConvBN-140                                             [[1, 512, 32, 32]]                                                                               [1, 256, 32, 32]                                                0       
      Conv2D-255                                             [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                            36,864     
  SyncBatchNorm-255                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
    ConvBNReLU-115                                           [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-256                                             [[1, 64, 128, 128]]                                                                               [1, 64, 64, 64]                                             36,864     
  SyncBatchNorm-256                                           [[1, 64, 64, 64]]                                                                                [1, 64, 64, 64]                                               256      
    ConvBNReLU-116                                           [[1, 64, 128, 128]]                                                                               [1, 64, 64, 64]                                                0       
      Conv2D-257                                              [[1, 64, 64, 64]]                                                                               [1, 512, 32, 32]                                             294,912    
  SyncBatchNorm-257                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-141                                              [[1, 64, 64, 64]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-258                                            [[1, 128, 128, 128]]                                                                              [1, 128, 64, 64]                                             147,456    
  SyncBatchNorm-258                                          [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
    ConvBNReLU-117                                          [[1, 128, 128, 128]]                                                                              [1, 128, 64, 64]                                                0       
      Conv2D-259                                             [[1, 128, 64, 64]]                                                                               [1, 512, 32, 32]                                             589,824    
  SyncBatchNorm-259                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-142                                             [[1, 128, 64, 64]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-260                                             [[1, 256, 64, 64]]                                                                               [1, 512, 32, 32]                                            1,179,648   
  SyncBatchNorm-260                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-143                                             [[1, 256, 64, 64]]                                                                               [1, 512, 32, 32]                                                0       
     FuseLayers-7               [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]]                    [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]                  0       
HighResolutionModule-7          [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]]                    [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]                  0       
      Conv2D-261                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-261                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-118                                           [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-262                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-262                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-144                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-89                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-263                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-263                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-119                                           [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-264                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-264                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-145                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-90                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-265                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-265                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-120                                           [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-266                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-266                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-146                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-91                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-267                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-267                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
    ConvBNReLU-121                                           [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-268                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                            36,864     
  SyncBatchNorm-268                                          [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                              256      
      ConvBN-147                                             [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
    BasicBlock-92                                            [[1, 64, 256, 256]]                                                                              [1, 64, 256, 256]                                               0       
      Conv2D-269                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-269                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-122                                          [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-270                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-270                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-148                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-93                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-271                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-271                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-123                                          [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-272                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-272                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-149                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-94                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-273                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-273                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-124                                          [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-274                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-274                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-150                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-95                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-275                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-275                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
    ConvBNReLU-125                                          [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-276                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                            147,456    
  SyncBatchNorm-276                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-151                                            [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
    BasicBlock-96                                           [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-277                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-277                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-126                                           [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-278                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-278                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-152                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-97                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-279                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-279                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-127                                           [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-280                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-280                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-153                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-98                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-281                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-281                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-128                                           [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-282                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-282                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-154                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-99                                            [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-283                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-283                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
    ConvBNReLU-129                                           [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-284                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                             589,824    
  SyncBatchNorm-284                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-155                                             [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
    BasicBlock-100                                           [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                                0       
      Conv2D-285                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-285                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
    ConvBNReLU-130                                           [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-286                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-286                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-156                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
    BasicBlock-101                                           [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-287                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-287                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
    ConvBNReLU-131                                           [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-288                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-288                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-157                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
    BasicBlock-102                                           [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-289                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-289                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
    ConvBNReLU-132                                           [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-290                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-290                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-158                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
    BasicBlock-103                                           [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-291                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-291                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
    ConvBNReLU-133                                           [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-292                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                            2,359,296   
  SyncBatchNorm-292                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-159                                             [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
    BasicBlock-104                                           [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                                0       
      Branches-8                [[[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]]                    [[1, 64, 256, 256], [1, 128, 128, 128], [1, 256, 64, 64], [1, 512, 32, 32]]                  0       
      Conv2D-293                                            [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                             8,192     
  SyncBatchNorm-293                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
      ConvBN-160                                            [[1, 128, 128, 128]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-294                                             [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                             16,384     
  SyncBatchNorm-294                                           [[1, 64, 64, 64]]                                                                                [1, 64, 64, 64]                                               256      
      ConvBN-161                                             [[1, 256, 64, 64]]                                                                                [1, 64, 64, 64]                                                0       
      Conv2D-295                                             [[1, 512, 32, 32]]                                                                                [1, 64, 32, 32]                                             32,768     
  SyncBatchNorm-295                                           [[1, 64, 32, 32]]                                                                                [1, 64, 32, 32]                                               256      
      ConvBN-162                                             [[1, 512, 32, 32]]                                                                                [1, 64, 32, 32]                                                0       
      Conv2D-296                                             [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                            73,728     
  SyncBatchNorm-296                                         [[1, 128, 128, 128]]                                                                             [1, 128, 128, 128]                                              512      
      ConvBN-163                                             [[1, 64, 256, 256]]                                                                             [1, 128, 128, 128]                                               0       
      Conv2D-297                                             [[1, 256, 64, 64]]                                                                               [1, 128, 64, 64]                                             32,768     
  SyncBatchNorm-297                                          [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
      ConvBN-164                                             [[1, 256, 64, 64]]                                                                               [1, 128, 64, 64]                                                0       
      Conv2D-298                                             [[1, 512, 32, 32]]                                                                               [1, 128, 32, 32]                                             65,536     
  SyncBatchNorm-298                                          [[1, 128, 32, 32]]                                                                               [1, 128, 32, 32]                                               512      
      ConvBN-165                                             [[1, 512, 32, 32]]                                                                               [1, 128, 32, 32]                                                0       
      Conv2D-299                                             [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                            36,864     
  SyncBatchNorm-299                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
    ConvBNReLU-134                                           [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-300                                             [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                             147,456    
  SyncBatchNorm-300                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-166                                             [[1, 64, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
      Conv2D-301                                            [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                             294,912    
  SyncBatchNorm-301                                          [[1, 256, 64, 64]]                                                                               [1, 256, 64, 64]                                              1,024     
      ConvBN-167                                            [[1, 128, 128, 128]]                                                                              [1, 256, 64, 64]                                                0       
      Conv2D-302                                             [[1, 512, 32, 32]]                                                                               [1, 256, 32, 32]                                             131,072    
  SyncBatchNorm-302                                          [[1, 256, 32, 32]]                                                                               [1, 256, 32, 32]                                              1,024     
      ConvBN-168                                             [[1, 512, 32, 32]]                                                                               [1, 256, 32, 32]                                                0       
      Conv2D-303                                             [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                            36,864     
  SyncBatchNorm-303                                          [[1, 64, 128, 128]]                                                                              [1, 64, 128, 128]                                              256      
    ConvBNReLU-135                                           [[1, 64, 256, 256]]                                                                              [1, 64, 128, 128]                                               0       
      Conv2D-304                                             [[1, 64, 128, 128]]                                                                               [1, 64, 64, 64]                                             36,864     
  SyncBatchNorm-304                                           [[1, 64, 64, 64]]                                                                                [1, 64, 64, 64]                                               256      
    ConvBNReLU-136                                           [[1, 64, 128, 128]]                                                                               [1, 64, 64, 64]                                                0       
      Conv2D-305                                              [[1, 64, 64, 64]]                                                                               [1, 512, 32, 32]                                             294,912    
  SyncBatchNorm-305                                          [[1, 512, 32, 32]]                                                                               [1, 512, 32, 32]                                              2,048     
      ConvBN-169                                              [[1, 64, 64, 64]]                                                                               [1, 512, 32, 32]                                                0       
      Conv2D-306                                            [[1, 128, 128, 128]]                                                                              [1, 128, 64, 64]                                             147,456    
  SyncBatchNorm-306                                          [[1, 128, 64, 64]]                                                                               [1, 128, 64, 64]                                               512      
